ID	Group	f__AKAU3564_sediment_group	f__Desulfuromonadaceae	g__Citrifermentans	g__Geobacter	o__Dehalococcoidales
SS372	0	0	0	0	0	0
SS373	0	0	0	0	0	0
SS374	0	0	0	0	0	0
SS375	0	0	0	0	0	1
SS342	0	0	0	0	0	0
SS343	0	0	0	0	0	1
SS368	0	0	0	0	0	0
SS369	0	0	0	0	0	0
SS370	0	0	0	0	0	1
SS371	0	0	0	0	0	0
SS376	0	0	0	0	0	0
SS377	0	0	0	0	0	0
SS378	0	0	0	0	0	0
SS379	0	0	0	0	0	0
SS364	0	0	0	0	1	1
SS365	0	0	0	0	0	0
SS366	0	0	0	0	0	0
SS367	0	0	1	1	0	1
